Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,742333,742333,10000.0,2025-09-28,1
2,324690,324690,10000.0,2025-04-28,1
3,970799,970799,10000.0,2025-12-21,1
4,366242,366242,10000.0,2025-05-14,1
5,160268,160268,10000.0,2025-02-27,1
6,267416,267416,10000.0,2025-04-07,1
7,869922,869922,10000.0,2025-11-14,1
8,200188,200188,10000.0,2025-03-14,1
9,535391,535391,10000.0,2025-07-14,1
10,348256,348256,10000.0,2025-05-07,1
11,102839,102839,10000.0,2025-02-06,1
12,552581,552581,10000.0,2025-07-21,1
13,951558,951558,10000.0,2025-12-14,1
14,871579,871579,10000.0,2025-11-14,1
15,742392,742392,10000.0,2025-09-28,1
16,535254,535254,10000.0,2025-07-14,1
17,265713,265713,10000.0,2025-04-07,1
18,284710,284710,10000.0,2025-04-14,1
19,850617,850617,10000.0,2025-11-07,1
20,74847,74847,10000.0,2025-01-27,1
21,122946,122946,10000.0,2025-02-13,1
22,766991,766991,10000.0,2025-10-07,1
23,619361,619361,10000.0,2025-08-14,1
24,181174,181174,10000.0,2025-03-07,1
25,618743,618743,10000.0,2025-08-14,1
26,238613,238613,10000.0,2025-03-28,1
27,240300,240300,10000.0,2025-03-28,1
28,766369,766369,10000.0,2025-10-07,1
29,181828,181828,10000.0,2025-03-07,1
30,889134,889134,10000.0,2025-11-21,1
31,534532,534532,10000.0,2025-07-14,1
32,36540,36540,10000.0,2025-01-13,1
33,159133,159133,10000.0,2025-02-27,1
34,851533,851533,10000.0,2025-11-07,1
35,406315,406315,10000.0,2025-05-28,1
36,600269,600269,10000.0,2025-08-07,1
37,74699,74699,10000.0,2025-01-27,1
38,636910,636910,10000.0,2025-08-21,1
39,514450,514450,10000.0,2025-07-07,1
40,18186,18186,10000.0,2025-01-06,1
41,573214,573214,10000.0,2025-07-28,1
42,704915,704915,10000.0,2025-09-14,1
43,368656,368656,10000.0,2025-05-14,1
44,825098,825098,10000.0,2025-10-28,1
45,803610,803610,10000.0,2025-10-21,1
46,434334,434334,10000.0,2025-06-07,1
47,470217,470217,10000.0,2025-06-21,1
48,182973,182973,10000.0,2025-03-07,1
49,36611,36611,10000.0,2025-01-13,1
50,572952,572952,10000.0,2025-07-28,1
51,889650,889650,10000.0,2025-11-21,1
52,182332,182332,10000.0,2025-03-07,1
53,766791,766791,10000.0,2025-10-07,1
54,869152,869152,10000.0,2025-11-14,1
55,490314,490314,10000.0,2025-06-28,1
56,871372,871372,10000.0,2025-11-14,1
57,991528,991528,10000.0,2025-12-28,1
58,824398,824398,10000.0,2025-10-28,1
59,823837,823837,10000.0,2025-10-28,1
60,702323,702323,10000.0,2025-09-14,1
61,433016,433016,10000.0,2025-06-07,1
62,618189,618189,10000.0,2025-08-14,1
63,367299,367299,10000.0,2025-05-14,1
64,932330,932330,10000.0,2025-12-07,1
65,432277,432277,10000.0,2025-06-07,1
66,639124,639124,10000.0,2025-08-21,1
67,702672,702672,10000.0,2025-09-14,1
68,600272,600272,10000.0,2025-08-07,1
69,304420,304420,10000.0,2025-04-21,1
70,888700,888700,10000.0,2025-11-21,1
71,471271,471271,10000.0,2025-06-21,1
72,305697,305697,10000.0,2025-04-21,1
73,952885,952885,10000.0,2025-12-14,1
74,120354,120354,10000.0,2025-02-13,1
75,219187,219187,10000.0,2025-03-21,1
76,406079,406079,10000.0,2025-05-28,1
77,103450,103450,10000.0,2025-02-06,1
78,56936,56936,10000.0,2025-01-20,1
79,600949,600949,10000.0,2025-08-07,1
80,822501,822501,10000.0,2025-10-28,1
81,619038,619038,10000.0,2025-08-14,1
82,909438,909438,10000.0,2025-11-28,1
83,685696,685696,10000.0,2025-09-07,1
84,385487,385487,10000.0,2025-05-21,1
85,907327,907327,10000.0,2025-11-28,1
86,766574,766574,10000.0,2025-10-07,1
87,349459,349459,10000.0,2025-05-07,1
88,201580,201580,10000.0,2025-03-14,1
89,347863,347863,10000.0,2025-05-07,1
90,823311,823311,10000.0,2025-10-28,1
91,56734,56734,10000.0,2025-01-20,1
92,741712,741712,10000.0,2025-09-28,1
93,305108,305108,10000.0,2025-04-21,1
94,784954,784954,10000.0,2025-10-14,1
95,367488,367488,10000.0,2025-05-14,1
96,850789,850789,10000.0,2025-11-07,1
97,932909,932909,10000.0,2025-12-07,1
98,386328,386328,10000.0,2025-05-21,1
99,122793,122793,10000.0,2025-02-13,1
100,386043,386043,10000.0,2025-05-21,1
101,102520,102520,10000.0,2025-02-06,1
102,658316,658316,10000.0,2025-08-28,1
103,139831,139831,10000.0,2025-02-20,1
104,869796,869796,10000.0,2025-11-14,1
105,786567,786567,10000.0,2025-10-14,1
106,325049,325049,10000.0,2025-04-28,1
107,618824,618824,10000.0,2025-08-14,1
108,515240,515240,10000.0,2025-07-07,1
109,683120,683120,10000.0,2025-09-07,1
110,534377,534377,10000.0,2025-07-14,1
111,56549,56549,10000.0,2025-01-20,1
112,934185,934185,10000.0,2025-12-07,1
113,323088,323088,10000.0,2025-04-28,1
114,618511,618511,10000.0,2025-08-14,1
115,571479,571479,10000.0,2025-07-28,1
116,305910,305910,10000.0,2025-04-21,1
117,721738,721738,10000.0,2025-09-21,1
118,702787,702787,10000.0,2025-09-14,1
119,324828,324828,10000.0,2025-04-28,1
120,470617,470617,10000.0,2025-06-21,1
121,285901,285901,10000.0,2025-04-14,1
122,785585,785585,10000.0,2025-10-14,1
123,322674,322674,10000.0,2025-04-28,1
124,159985,159985,10000.0,2025-02-27,1
125,722657,722657,10000.0,2025-09-21,1
126,122318,122318,10000.0,2025-02-13,1
127,405335,405335,10000.0,2025-05-28,1
128,432609,432609,10000.0,2025-06-07,1
129,491135,491135,10000.0,2025-06-28,1
130,285349,285349,10000.0,2025-04-14,1
131,219031,219031,10000.0,2025-03-21,1
132,970675,970675,10000.0,2025-12-21,1
133,490269,490269,10000.0,2025-06-28,1
134,767365,767365,10000.0,2025-10-07,1
135,284950,284950,10000.0,2025-04-14,1
136,554250,554250,10000.0,2025-07-21,1
137,266630,266630,10000.0,2025-04-07,1
138,786808,786808,10000.0,2025-10-14,1
139,266672,266672,10000.0,2025-04-07,1
140,553074,553074,10000.0,2025-07-21,1
141,121766,121766,10000.0,2025-02-13,1
142,75946,75946,10000.0,2025-01-27,1
143,803892,803892,10000.0,2025-10-21,1
144,238589,238589,10000.0,2025-03-28,1
145,266481,266481,10000.0,2025-04-07,1
146,617709,617709,10000.0,2025-08-14,1
147,159524,159524,10000.0,2025-02-27,1
148,158530,158530,10000.0,2025-02-27,1
149,471382,471382,10000.0,2025-06-21,1
